#latitute, longitude (you can simply copy-paste a location from right-click in google maps)
-27.4840226749812, 153.01289696891308
-28.08249499965112, 153.29760553308637
-33.68902229714914, 150.53513905438226
-37.486598331312436, 144.90191141801878
-28.16931509451758, 142.52280297401097
-26.643612619462314, 125.15501141717152
-31.127261193415883, 119.88186911252699
-39.23513417740763, 175.85438753400973
-44.20693042160332, 170.34310557672143
37.49498303742026, 127.29080358123667
34.50960114474838, 110.81871427701803
27.88550816778334, 102.48588726538445
35.4763983606369, 93.83461270793053
20.853382655909893, 77.11034780675278
45.38322359837108, 100.55125113476892
59.38932632204139, 97.73875124944453
57.739504567973476, 74.0961740884365
65.6493362646533, 67.06492463672937
62.785020927727516, 143.26609531121898
66.92156268536635, 166.99656443391473
64.65223686716466, -153.97999842444662
62.3395456382142, -126.55812346744996
54.45743571980475, -108.97999792274072
39.35151539209199, -110.7378104048226
49.93726687784098, -83.31593652290998
36.22678465057146, -83.49171755072597
-7.211468361235937, -65.03670474568389
-8.236762822637482, -44.93402563818252
-17.0963383923759, -65.48014619658466
-28.710945739949146, -60.15884878577547
-21.28453626005441, 22.81911064871334
0.9539649146788429, 27.15524575256523
18.933208613552566, 9.962850428520936
26.70819486395061, 42.369755409981344
45.944944377813286, 22.058385250830437
45.46682694867477, 2.8120311933826287
52.444425714558136, 15.668291413575037
53.27117393391432, -2.1326842759221423
40.80739388692839, -3.5019900981911545
59.68063193144987, 36.74038656738153
67.50724069291424, 25.101287918668724
64.69202934183976, -18.386352111567344
30.578743921220486, 58.6289678583254
47.38539318441577, 58.33334022439156
53.887084492625455, 48.20809337342266
23.27189460485109, 48.50372079942862
-2.3449606326896024, 35.62601965886199
1.5977298619898888, 113.935775487633
-4.899985273264714, 142.2365555837095
4.117145604651403, 102.37923051678611
14.544585048850507, 104.52189358628816
20.300801538184363, 100.15817717961663
40.100742483569555, 115.9965525463701
40.429127408790855, 126.5188752398987
38.801496514722515, 141.1236683560487
34.97562434292045, 133.18425440565326
57.05572143720608, 159.9841299628438
64.36494282946056, -146.34677173281688
24.41151460940794, -101.11574307195346
40.01884329520246, -119.81419091826906
38.87746967752813, -85.44747847345977
27.430743283199984, -80.87774028903695
-24.46668535574844, -66.46367702035188
-10.119798658371419, -44.35918573413065
-36.261580154339555, -67.29863804744224
-2.964474097031243, -63.343559924234015
-1.6922741861793977, -51.721050951709124
-26.46343458343881, 117.88593185435441
-31.062819148152403, 121.53741404707178
-14.347016148452777, 132.11204541055892
-16.700302221026288, 143.5333794989029
-24.968258273487148, 135.73740077169725
-20.72830135539136, 124.6688450477883
-75.24239586156175, -85.27409275274796
64.92705627146573, 65.18843981483046
67.28986927779341, 36.21693047489441
62.9472163555388, 14.710019277509206
50.78434930330675, 10.224116745618057
47.415778382607776, 1.4966840260315353
46.52427605619935, 7.558852953884497
43.41981014477944, 12.183869736054882
57.64346703360286, 63.06344709255045
55.01335434311472, 35.64157313010414
62.45989589614565, 53.39547870835461
4.977906855342115, 21.579073662182953
3.751030032854389, 15.778292631665463
63.26167291221795, 53.21969746500561
66.04332920989786, 114.04000766376471
56.59380145391811, 34.411104400057084
-12.1129175423909, -55.41311664453256
-6.477436097960098, -68.4209286523596
34.317573913494364, -109.99319333957061
35.54250169930334, -98.91897500858273
47.3473789742216, -103.6650685790061
48.988504031920506, -77.12210007509259
21.786072587705615, 20.36094332547018
26.324465352036984, 4.451041350751408
-10.425305673111051, 23.592642164084936
25.97919547374396, 110.02231039963914
36.044600827892296, 128.30925508112384
13.15266703144838, 105.62521476471063
0.18756297290000323, 113.76660981707414
-26.944705168913924, 130.51551109544732
32.09232838013794, 42.84940760016636
25.429569742776557, 17.593321837973225
49.58796456589137, 34.48142737775298
56.560829037404766, 32.50354114336435
33.815700888093666, 52.89098386706243
44.73051824388176, 44.82729383455499
46.22395077565454, 67.80120317245355
39.36925079345397, 73.88700697057239
25.77966046469395, 85.61635680467363
23.185363782064513, 103.4751063133494
25.00214358592776, 114.39476482732928
23.72508549277871, 120.98268370631901
24.879334995265094, 113.06229536296598
16.9234374707959, 121.32541483502666
-3.6271227365508656, 138.84996641465634
47.38521252248789, 133.39456839799223
43.656017741235225, 142.88875300124909
49.92514968289031, 118.30607625771752
51.182554325846425, 13.739351138924206
48.18313295259483, -1.0695033309366024
40.684862556560255, -6.634818180348753
46.62463948419848, 0.7536166201897208
52.40051667758736, -2.1819108740953763
43.84649854982581, 23.872936804983485
